Variable,Diemsion Name,Frequently Used,Paired Event,Description,Example,Notes,DataFeed
eVar63,Visitor ID (v63),Yes,"Unique Visitor, Visits","Visitor ID (v63) captures the Visitor ID, a persistent identifier assigned by the Adobe web server when a user visits the site. This ID is commonly based on the Experience Cloud ID (ECID).
*This variable contains a large number of unique values, so it is likely to be classified as “Low Traffic” in Adobe Analytics.","eVar63=""01969343649642537292398364845721107085""
eVar63=""72204423848786642493025059164702060513""","*key feature
- Persistence: The Visitor ID remains consistent across visits as long as the user’s browser retains the relevant cookies.
- Cookie Deletion Impact: If a user clears their cookies, a new ECID is generated, resulting in a new Visitor ID. In this case, Adobe Analytics treats the same user as a new visitor, and any previous tracking continuity is lost.
- Dependency on ECID: The Visitor ID (v63) is only populated if the ECID exists on the page. If the ECID is missing or improperly set (e.g., via a custom or non-standard implementation), the v63 value may not be collected.

* To be compliant with GDPR and CNIL, data is collected as 'no consent' unless users consent to the deposit of tracers by a clear positive act (such as clicking on ""I accept"" in a cookie banner) in FR, FR EPP sites.",post_evar63
eVar64,UID (v64),Yes,"Unique Visitor, Visits","UID (v64) collects Samsung Account GUID when a user is logged in with their Samsung Account. This variable is used in both web and mobile app. Once collected, the login UID is stored and maintained for 90 days.
*This variable contains a large number of unique values, so it is likely to be classified as “Low Traffic” in Adobe Analytics.","eVar64=""s1ohx665kt""
eVar64=""1zpb4g6usb""","* To be compliant with GDPR and CNIL, data is collected as 'no consent' unless users consent to the deposit of tracers by a clear positive act (such as clicking on ""I accept"" in a cookie banner) in FR, FR EPP sites.",post_evar64
eVar65,Local UID (v65),No,"Unique Visitor, Visits","Collects data which is contained a URL parameter defined by subs
- FR : uid
- NL, BE, BE_FR : sci
- RU : cui","If the entry URL is 'www.samsung.com/fr/?uid=2106635108',
eVar65=""2106635108""","Specific RS Only: NL, BE, BE_FR, RU, FR, MST, MST(dev), TEST",post_evar65
eVar66,Local Campaign Type (v66),No,Local Campaign Type (v66) Instances,Local requested specific variable (only s_code),"eVar66=""seo""
eVar66=""dir""
eVar66=""ref""
eVar66=""email""
eVar66=""seo>ref>seo""","Specific RS Only: NL, BE, BE_FR, RU, FR, MST, MST(dev), TEST",post_evar66
eVar67,Hashed GCRM ID (v67),No,Hashed GCRM ID (v67) Instances,"Created to collect GCRM hashed ID which is contained a URL parameter, named samid.
In case of AU and TH, collects hashed ID (encrypted) from cookie exceptionally
* To be compliant with GDPR and CNIL, data is collected as 'no consent' unless users consent to the deposit of tracers by a clear positive act (such as clicking on ""I accept"" in a cookie banner) in FR, FR EPP sites.","If the entry URL is 'www.samsung.com/uk/?samid=0x114705293C69EECEFEF0F29A15C8D33E6676FE44343FE77514E9D694EA8',
eVar67=""0x114705293C69EECEFEF0F29A15C8D33E6676FE44343FE77514E9D694EA8""",-,post_evar67
eVar68,Review (v68),No,Review (e68),Collects reivew related content interactions ,"eVar68=“read review”
eVar68=""write review""
eVar68=“search:galaxy”
eVar68=“helpful:yes”
eVar68=“rating filter:1star”",-,post_evar68
eVar69,Personalization (v69),No,Personalization (v69) Instances,Local used variable for specific purposes regarding personalization,"eVar69=""pzn_galaxy_s8_subnav_specs_b""
eVar69=""pzn_smartphone_product_images_not_clickable_a""","Specific RS Only: AE, AE_AR, UK, DE, ES,  FR,  SE, PL, NO,  NL,FI,  DK,  MST, MST(dev), TEST",post_evar69
eVar70,ePromoter Agent ID (v70),No,ePromoter Agent ID (v70) Instances,Collects ePromoter agent ID ,"eVar70=""369416559393""
eVar70=""Pratham""","Created : 18. 06. 20
Specific RS Only: AE, AE_AR, AU, BR, CA, CA_FR, CN, ES, FR, ID, IN, LATIN, LATIN_EN, MY, NZ, PH, PL, SG, TH, TR, TW, VN, MST, MST(dev), TEST",post_evar70
eVar71,Client ID (v71),No,Client ID (v71) Instances,"Collects Client ID, created by google analytics cookie to identify an unique user.","eVar71=""1069276447.1588299718""
eVar71=""748320611.1587390471""","Created : 19. 11. 15
Specific RS Only: TEST, TH, EU Subs, MST, MST (dev)",post_evar71
eVar72,Jet - Campaign ID (v72),No,Jet - Campaign ID (v72) Instances,"Created to collect Jet Campaign ID which is contained a URL parameter, named jetid.
* Jet: Local CRM operator",-,"Created : 19. 04. 04
Specific RS Only: MST, MST (dev), TEST, RU, JP",post_evar72
eVar73,Multistore ID/Name (v73),Yes,Multistore ID/Name (v73) Instances,"Multistore ID/Name (v73) collects the multistore name (e.g., employee) when a user visits a multistore version of the site. This data is captured across both AEM pages and Shop pages within the multistore environment.","eVar73=""corporate""
eVar73=""employee""
eVar73=""students""
eVar73=""networks""",Created : 18. 10. 07,post_evar73
eVar74,Search Ads 360 (Click ID) (v74),No,Search Ads 360 (Click ID) (v74) Instances,"Collects a Google click ID which is contained a URL parameter, named gclid, to integrate AA on-site data with Google Search Ads.","eVar74=""EAIaIQobChMI76-f_ey33AIVAaaaCh0V2AlUEAAYASAAEgIupvD_BwE""","Specific RS Only: PL, FR, NL, BE, BE_FR, MST, MST(dev), TEST",post_evar74
eVar75,Target Marketing (v75),No,Target Marketing (e75),Collects device detection target marketing data such as floating banner display and banner click,"eVar75=""galaxys6:barshade:galaxy device:display""
eVar75=""support home:floatingbanner:apple:display""",-,post_evar75
eVar76,Star Rating (v76),No,Star Rating (v76) Instances,Collects star rating scores in review (PD19 Component),-,-,post_evar76
eVar77,SEO Keyword (v77),No,SEO Keyword (v77) Instances,Created to integrate Adobe Analytics with seoClarity by Data Connectors,-,"Specific RS Only: EU (AL, AT, BE, BE_FR, BG, CH, CH_FR, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LV, MK, NL, NO, PL, PT, RO, RS, SE, SI, SK, UK), MST, MST(dev), TEST",post_evar77
eVar78,SEO Landing Page URL (v78),No,SEO Landing Page URL (v78) Instances,Created to integrate Adobe Analytics with seoClarity by Data Connectors,"eVar78=""https://www.samsung.com/sec/""
eVar78=""https://www.samsung.com/br/""","Specific RS Only: EU (AL, AT, BE, BE_FR, BG, CH, CH_FR, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LV, MK, NL, NO, PL, PT, RO, RS, SE, SI, SK, UK), MST, MST(dev), TEST",post_evar78
eVar79,Trade-in Device (v79),No,Trade-in Device (v79) Instances,"The Trade-in Device (v79) collects information in the format <brand>_<device>, representing the brand and model of the trade-in device selected by the user. The data is captured on the GPv2 platform and is specifically triggered when a purchase event occurs.","eVar79=""Apple_iPhone XS - 512 GB""
eVar79=""Samsung_Galaxy S7 Edge | 32 Go""",Created : 19. 07. 19,post_evar79
eVar80,App Link Name (v80),Yes,App Link Name (v80) Instances,"App Link Name (v80) includes all native app event type data. The App Link Name is fired when user clicks CTA or makes screen view, widget view etc.","eVar80=""Home""
eVar80=""click_widget""
eVar80=""ViewWidget""
eVar80=""screen_view""",Created : 19. 01. 02,post_evar80
eVar81,App Install Name (v81),No,Mobile App Interaction (e81),"The App Install Name captures the exact name of the application as it is registered upon installation on a user's device. This value may vary depending on the operating system (e.g., Android vs. iOS) or regional app store configurations. ",-,"Created : 19. 01. 02
Specific RS Only: TEST, SEC, CN",post_evar81
eVar82,App ID (v82),No,App ID (v82) Instances,"The App ID (v82) captures a standardized application identifier to ensure consistency in data analysis across different operating systems (e.g., Android, iOS) and app build versions. This normalization allows for more accurate segmentation, filtering, and reporting in Adobe Analytics and other analytics tools by mitigating discrepancies caused by platform-specific or version-specific naming conventions.","eVar82=""Samsung Shop 1.0.71 (2258)""
eVar82=""Samsung Shop 1.0.73 (2579)""","Specific RS Only: TEST, SEC, CN",post_evar82
eVar83,A/B Testing (v83),No,A/B Testing (v83) Instances,Collects if a user experience new version or old version during A/B testing,"eVar83=""new version""
eVar83=""old version""",-,post_evar83
eVar84,Bandwidth (v84),No,Bandwidth (v84) Instances,"Measure a type of bandwidth, which is defined as a range within a band of frequencies or wavelengths","eVar84=""low bandwidth""
eVar84=""high bandwidth""",-,post_evar84
eVar85,Redirection (v85),No,Page Views,"Created to collect value, contained a URL parameter '?page'
The parameter is only added only if the page is automatically redirected to flagship pdp from Samsung.com Home after unpacked","If URL is 'https://www.samsung.com/<sitecode>/smartphones/galaxy-note20/?page=home', eVar85=""home"".",-,post_evar85
eVar86,GA UTM Code (v86),No,Page Views,"GA UTM Code (v86) Collects Google Analytics campaign data from URL parameters named UTM. Even if only one UTM parameter is present in the URL, all five UTM parameters are populated in v86, with missing values marked as 'none'.UTM data collected in v86 is shown in the order below
The data in v86 follows this order:
utm_source, utm_medium, utm_campaign, utm_term, utm_content","If URL is 'https://www.samsung.com/uk/?utm_campaign=summer-sale&utm_source=summer-mailer&utm_medium=email',
eVar86=""utm_source=summer-mailer&utm_medium=email&utm_campaign=summer-sale&utm_term=none&utm_content=none""",Created : 20. 08. 25,post_evar86
eVar87,Vendor ID (v87),No,Vendor ID (v87) Instances,Collects vendor ID for VD Enterprise Business download center,-,"Created : 25. 03. 31
Specific RS Only: EBDC, Nextgen",post_evar87
eVar88,Http Protocol Version (v88),No,Http Protocol Version (v88) Instances,"Captures the user's HTTP protocol version (e.g., h2, h3) at the time of purchase. Used to analyze conversion rate changes before and after HTTP/3 adoption. ","evar88=""h2""
evar88=""h3""
evar88=""unknown""",Created : 25. 05. 23,post_evar88
eVar89,Vendor Company Name (v89),No,Vendor Company Name (v89) Instances,Collects vendor company name for VD Enterprise Business download center,-,"Created : 25. 06. 18
Specific RS Only: EBDC, Nextgen",post_evar89
eVar90,Time Spent on Content (v90),No,Time Spent on Content (e109),Collects times users spent on consuming contents,-, Created : 21. 01. 13,post_evar90
eVar91,Contentsquare (v91),No,Contentsquare (v91) Instances,Created to integrate Contentsquare with Adobe Analytics,"evar91=""0.960149581285372_1589193109039"""," Created : 20. 10. 14
Specific RS Only: FR DE, SE, UK, MST, MST(dev), TEST, ES,  IT,  NL,  BE,  PL, AL, AT, BA, BG, CH, CH_FR, CZ, DK, EE, FI, GR, HR, HU, IE, LT, LV, MK, PT, RO, RS, SI, SK, UA, NO",post_evar91
eVar92,URL without Parameter (v92),Yes,URL without Parameter (v92) Instances,"URL without Parameter (v92) captures the core URL structure without unnecessary elements such query parameters, hypertext transfer protocols (https, http), trailing slashes, or anchors(/#reviews).","If a user visits https://www.samsung.com/uk/smartphones/all-smartphones/?galaxy-s,
eVar92= ""www.samsung.com/uk/smartphones/all-smartphones""

If a user visits https://www.samsung.com/uk/tvs/qledtv-q950t/QE85Q950TSTXXU/#reviews,
eVar92=""www.samsung.com/uk/tvs/qledtv-q950t/QE85Q950TSTXXU""","When filtering or creating segments using URL data, apply the ""contains"" condition to account for variations caused by parameters. For example, instead of filtering ""https://www.samsung.com/de/mobile-content-page/?ref=promo"", you should use ""contains 'mobile-content-page'"" to capture all variations",post_evar92
eVar93,AF - Media Source (v93),Yes,AF - Media Source (v93) Instances,"AF - Media Source (v93) captures the mobileadnetwork field, which is populated via AppsFlyer postback data using the pid parameter. This parameter identifies the source media platform and the captured value is used to classify traffic sources for attribution and performance analysis.",,,post_evar93
eVar94,GDPR Consent (v94),Yes,GDPR Consent (v94) Instances,"GDPR Consent (v94) is used to store cookie consent information in accordance with GDPR regulations. These variables capture which categories of cookies the user has consented to. 
They are only meaningful in countries where TrustArc, Samsung’s cookie consent solution, has been implemented. These include EU countries, , Canada (CA, CA_FR), and Turkey (TR). 
","All consents given (1 to 4): 'permit 1,2,3,4'
Consent given up to category 3: 'permit 1,2,3'
Consent given only for categories 1 and 3: 'permit 1,3'
Consent given only for categories 1 and 2 (functional cookies): 'permit 1,2 functional'
All optional consents declined (required only): 'permit 1 required'
In non-TrustArc markets (default): 'no consent' ","In non-TrustArc markets, 'no consent' is a default and should not be interpreted as actual rejection.

In some cases, ""permit ..."" values may appear for non-TrustArc regions if users previously visited a consent-enabled region and didn't clear cache.

In TrustArc markets, 'no consent' is recorded when there is no cookie value present. This can occur in situations where, even after consent has been initially given, the cookie is deleted—such as when the user manually clears their browser cookies or when an ad blocker deletes them.

*France: A Special Case
Unlike other EU countries, France allows AA data collection regardless of user consent due to local regulations and its specific TrustArc configuration.
In France, analytics tools are categorized under category 2 (Performance Cookies) instead of category 3.
To ensure consistency with other EU countries where only consented data is collected, the ""[FR] RGPD Consent Only"" segment was created.
This segment filters data to include only sessions where eVar94 or prop64 contains ""2"", indicating user consent for analytics based on the French TrustArc setup.

*India: 
India collects  ‘permit 1,2,3,4’ value due to legacy issues. Please review or exclude this data to ensure reporting accuracy.

Created : 21. 03. 18",post_evar94
eVar95,Live Commerce Player Interaction (v95),No,Live Commerce Player Interaction (e95),Collects Live Commerce content value,-,Created : 21. 09. 30,post_evar95
eVar96,Link Tracking Taxonomy (v96),No,Link Tracking Taxonomy (e96),"Collects click action data with URL, excluding parameter, to view all actions that occurred on a specific page at once
Triggered in US only","eVar96=""https://www.samsung.com/us>navigation>gnb>mobile:smartphones""
eVar96=""https://www.samsung.com/us/tvs/uhdtv-ru8000/UE65RU8000UXXU>buy cta>where to buy>buy online:amazon""",-,post_evar96
evar97,Social Commerce Widget - Bazaarvoice (v97),No,Social Commerce Widget - Bazaarvoice (e97),Collects data from Bazaarvoice,-,"Specific RS Only: UK, AU, BE, BR, DE, ES, FR, IT, NL, SE, US, TEST",post_evar97
evar98,Support Help Content ID (v98),No,-,Collects content ID from Support Help Content Page,"eVar98=""support:<Page ID>""",Created : 21. 11. 24,post_evar98
eVar99,Undefined,-,-,-,-,-,-
eVar100,Undefined,-,-,-,-,-,-
eVar101,Undefined,-,-,-,-,-,-
eVar102,Undefined,-,-,-,-,-,-
eVar103,Undefined,-,-,-,-,-,-
eVar104,Undefined,-,-,-,-,-,-
eVar105,Undefined,-,-,-,-,-,-
eVar106,Undefined,-,-,-,-,-,-
evar107,Mouse Hover (v107),No,Mouse Hover (v107) Instances,Collect mouse hover data on UK Home L0 menu,-,"Created : 22. 10. 18
Specific RS Only: UK, MST, MST(dev), TEST",post_evar107
eVar108,Instore mode Content Click (v108),No,Instore mode Content Click (e108),Count click action data for instore page.,"evar108=""welcome to samsung bkc:view all reservations""","Specific RS Only: IN, MST, MST(dev), TEST",post_evar108
eVar109,Rewards User (v109),No,Page Views,"Collects whether a Samsung Account login user is under rewards registered member or not
The variable is triggered AA page view call

If sites didn't launch a rewards program
- before logging in : evar109=""undefined-logged out""
- after logging in : evar109=""undefined-logged in""

If sites launched a rewards program
- before logging in : evar109=""undefined-logged out""
- after logging in : evar109=""undefined-logged in"" 
                                 or evar109=""rewards user""","evar109=""undefined-logged out""
evar109=""undefined-logged in""
evar109=""rewards user""",Created : 21. 02. 09,post_evar109
eVar110,K1 ID (v110),No,K1 ID (v110) Instances,"Collects hashed K1 ID
Tagging value should be collected 'null' if there is no ID collected","evar110=""null""",Created : 20. 11. 04,post_evar110
eVar111,Community Search (v111),No,Community Search (v111) Instances,Collects search search data in Community site,-,Created : 21. 01. 13,post_evar111
eVar112,Undefined,-,-,-,-,-,-
eVar113,Request ID (v113),No,Request ID (v113) Instances,Collects Request ID of recommended products,-,"Created : 21. 07. 13
Specific RS Only: MST, MST(dev), TEST, UK, DE, AU, FR,IT, ES, PT",post_evar113
eVar114, Delivery Date (v114),No, Delivery Date (v114) Instances,Triggered when landing on PD page and collects delivery date of user by option,-,Created : 22. 10. 14,post_evar114
eVar115,Owned Product (v115),No,Owned Product (e115),"Collect the latest product’s model name and model code from Personalized Offering (PO) banner (usp, your message, banner,..etc)",-,Created : 24. 01. 29,post_evar115
eVar116,Insider Data Category (v116),No,Insider Data Category (v116) Instances,"Collects category data from Insider, the marketing tool which generates popup. ",-,"Created : 21. 07. 01
Specific RS Only: MST, MST(dev), TEST, MENA (EG,  IRAN, IL, LB, LEVANT, LEVANT_AR, N_AFRICA,  PK, PS, SA, SA_EN, TR, AE, AE_AR,, PE, MX, AR, CL, CO,  BR)",post_evar116
eVar117,Insider Data Action (v117),No,Insider Data Action (v117) Instances,"Collects action data from Insider, the marketing tool which generates popup. ",-,"Created : 21. 07. 01
Specific RS Only: MST, MST(dev), TEST, MENA (EG,  IRAN, IL, LB, LEVANT, LEVANT_AR, N_AFRICA,  PK, PS, SA, SA_EN, TR, AE, AE_AR,, PE, MX, AR, CL, CO,  BR)",post_evar117
eVar118,Insider Data Label (v118),No,Insider Data Label (v118) Instances,"Collects scenario ID data from Insider, the marketing tool which generates popup. ",-,"Created : 21. 07. 01
Specific RS Only: MST, MST(dev), TEST, MENA (EG,  IRAN, IL, LB, LEVANT, LEVANT_AR, N_AFRICA,  PK, PS, SA, SA_EN, TR, AE, AE_AR,, PE, MX, AR, CL, CO,  BR)",post_evar118
eVar119,Insider Data Value (v119),No,Insider Data Value (v119) Instances,"Collects value such as product price or discounted price from Insider, the marketing tool which generates popup. ",-,"Created : 21. 07. 01
Specific RS Only: MST, MST(dev), TEST, MENA (EG,  IRAN, IL, LB, LEVANT, LEVANT_AR, N_AFRICA,  PK, PS, SA, SA_EN, TR, AE, AE_AR,, PE, MX, AR, CL, CO,  BR)",post_evar119
eVar120,eCommerce - Coupon/Promotion Code (v120),No,eCommerce - Coupon/Promotion Code (v120) Instances,"Collects product's coupon/promotion data
Tagging value should be collected the first three digits","evar120=""S36""","Created : 21. 09. 02
Specific RS Only: MST, MST(dev), RU,  TEST
",post_evar120
eVar121,eCommerce - Customer ID (v121),No,eCommerce - Customer ID (v121) Instances,Collects product's customer ID data,"evar121=""3d6210d2-4773-46ab-8df2-1e35e8edb8eb""","Created : 21. 09. 02
Specific RS Only: MST, MST(dev), RU, TEST
",post_evar121
eVar122,eCommerce - Shipping City (v122),No,eCommerce - Shipping City (v122) Instances,Collects product's Shipping City data,"evar122=""дп Лесной Городок г Одинцово""","Created : 21. 09. 02
Specific RS Only: MST, MST(dev), RU,  TEST
",post_evar122
eVar123,eCommerce - eCommerce - Registed Visitor (v123),No,eCommerce - eCommerce - Registed Visitor (v123) Instances,Collects if visitor is registered or not(REGISTERED/GUEST),"evar123=""registered""","Created : 21. 09. 02
Specific RS Only: MST, MST(dev), RU,  TEST
",post_evar123
eVar124,eCommerce - Delivery Option (v124),No,eCommerce - Delivery Option (v124) Instances,"Collect delivery option information ""YES"" or ""NO""","evar124=""yes""","Created : 21. 09. 02
Specific RS Only: MST, MST(dev), RU,  TEST
",post_evar124
eVar125,Undefined,-,-,-,-,-,-
eVar126,Undefined,-,-,-,-,-,-
eVar127, Product Recommendation (v127),No,Product Recommendation (e127),Collects information of product recommendation,"evar127=""pzn:uk:homepage:For You tab added""","Created : 23. 05. 19
Specific RS Only: UK, MST, MST(dev), TEST",post_evar127
eVar128,Undefined,-,-,-,-,-,-
eVar129,Undefined,-,-,-,-,-,-
eVar130,Encrypted Email (v130),No,Encrypted Email (e130),Collects user's email which is encrypted.,-,"Created : 24. 03. 27
Specific RS Only: MST, MST(dev), TEST, CO, CL, MX,, AR, BR, PE",post_evar130
eVar131,Video Mode (v131),No,Video Mode (v131) Instances,Collects Video Type,-,Created : 24. 04. 26,post_evar131
eVar132,Video ID (v132),No,Video ID (v132) Instances,Collects Encoded ID,-,Created : 24. 04. 26,post_evar132
eVar133,Video Feed ID (v133),No,Video Feed ID (v133) Instances,Collects widget ID,-,Created : 24. 04. 26,post_evar133
eVar134,Playlist ID (v134),No,Playlist ID (v134) Instances,Collects Playlist ID,-,Created : 24. 04. 26,post_evar134
eVar135,Hashtag (v135),No,Hashtag (v135) Instances,Collects Hashtag keywords,-,Created : 24. 04. 26,post_evar135
eVar136,Personalized Offering (v136),No,Personalized Offering (e136),"Collects Upsell/cross-sell, model category, product name, cs repair history, rewards, SKU information about registered product for Personalized Offering banner (data sent from BDC API)",-,Created : 24. 05. 23,post_evar136
eVar137,Owned Product List (v137),No,Owned Product List (e137),Collects Owned product list (model name and model code) from Registered product card (My page),-,Created : 24. 05. 27,post_evar137
eVar138,Cart Condition (v138),No,Cart Condition (v138) Instances,"Collects cart condition data to distinguish whether cart is empty or filled.
 (data sent from BDC API)",-,Created : 24. 09. 02,post_evar138
eVar139,Product Cart Addition (v139),No,Product Cart Addition (e139),Collects Model Code during the product cart addition and abandonment,"evar139=""SM-S918BZKHEUB""","Created : 23. 06. 19
Specific RS Only: FR, MST, MST(dev), TEST",post_evar139
eVar140,disabled,-,-,-,-,-,-
eVar141,My SmartThings Impression (v141),No,My SmartThings Impression (e141),"Collects first shown message from MYD12 your message or contents title from smartthings banner. 
# PII data including user’s name should not be collected.",-,Created : 24. 10. 30,post_evar141
eVar142,Personalized cookie value (v142),No,Personalized cookie value (e142),Collect the home_pnz value in a cookie when a page view call occurs on the home or offer page.,-,Created : 24. 11. 05,post_evar142
….,disabled,-,-,-,-,-,-
eVar173,Offline  Store ID/Name (v173),No,Offline  Store ID/Name (v173) Instances,Collects offline store  id or name.,-,Created : 24. 09. 03,post_evar173
….,disabled,-,-,-,-,-,-
eVar180,Category from BDC (v180),No,Category from BDC (v180) Instances,Collect 'categorySubTypeEngName' information in BDC API.,-,Created : 24. 12. 26,post_evar180
eVar181,Page type from BDC (v181),No,Page type  from BDC (e181),Collect 'pageType' information in BDC API.,"evar181=""my_smartthings_na""",Created : 25. 04. 25	,post_evar181
eVar182,AC - Image URL (v182),No,AC - Image URL (v182) Instances,"Collects  the image URL of the product added to cart. Also standardized to the SKU-level image URL as displayed in the cart
This variable is defined specifically for the Cart Abandonment CRM Campaign under CRM 2.0 project.","evar182=""https://images.samsung.com/is/image/samsung/p6pim/…-s937bzsgeub-546085996?$ORIGIN_PNG$?$450_450_PNG$""",Created : 25. 05. 26,post_evar182
eVar183,AC - Model Name(SKU) (v183),No,AC - Model Name(SKU) (v183) Instances,"Collects the specific SKU (model name) of the product added to cart.
This variable is defined specifically for the Cart Abandonment CRM Campaign under CRM 2.0 project. ","evar183=""SM-S937""",Created : 25. 05. 26,post_evar183
eVar184,AC - Model Code (v184),No,AC - Model Code (v184) Instances,"Collects the internal model code of the product added to the cart. 
This variable is defined specifically for the Cart Abandonment CRM Campaign under CRM 2.0 project.","evar184=""SM-S937BZSGEUB""",Created : 25. 05. 26,post_evar184
eVar185,AC - Display Name (v185),No,AC - Display Name (v185) Instances,"Collects the fmyMarketingName shown in the CRM message. 
This variable is defined specifically for the Cart Abandonment CRM Campaign under CRM 2.0 project.","evar185=""Galaxy S25 Edge""",Created : 25. 05. 26,post_evar185
eVar186,AC - URL (v186),No,"AC - URL (v186) 
Instances","Collects the full URL of the page where the Cart Abandonment trigger occurred.
This variable is defined specifically for the Cart Abandonment CRM Campaign under CRM 2.0 project.","evar186=""https://www.samsung.com/uk/smartphones/galaxy-s25-edge/buy/""",Created : 25. 05. 26,post_evar186
….,disabled,-,-,-,-,-,-
eVar250,Event Type (v250),No,Event Type (v250) Instances,-,-,Created : 23. 11. 30,post_evar250
